workflow,url,gold_answer,worker_id,attempt_count,unique_answers_count,answers_seen,correctness_seen,resolved_worker_answer,resolved_is_correct,is_worker_conflict
REGION_MARKUP,https://004.ru,no,0dc768da-cdf6-426e-a4ff-c40a41a6a30f,1,1,no,true,no,True,False
REGION_MARKUP,https://004.ru,no,674644c1-7c9c-408e-bbe8-84234a560570,1,1,no,true,no,True,False
REGION_MARKUP,https://005mebel.ru,yes,45c9057f-e51d-47bb-8ebb-db1700eefc57,1,1,yes,true,yes,True,False
REGION_MARKUP,https://005mebel.ru,yes,afba50b9-4ab0-422b-b62e-4f45395ced16,1,1,yes,true,yes,True,False
REGION_MARKUP,https://01rf.ru,no,a8d4092a-381e-4e69-a8dd-16ec3868f1aa,1,1,no,true,no,True,False
REGION_MARKUP,https://01rf.ru,no,c050eca7-e56c-4bd9-86e1-ffda235ffeca,1,1,no,true,no,True,False
REGION_MARKUP,https://1-2.sale,yes,65e2711c-a19e-40c9-ac31-def66b101dcd,1,1,no,false,no,False,False
REGION_MARKUP,https://1-karat.ru,no,afc3ce5e-b812-4faf-ac03-7cead8a14399,1,1,no,true,no,True,False
REGION_MARKUP,https://1-lift.ru,no,e5ad53d3-3dbc-4152-b9fb-b032e743f7e8,1,1,no,true,no,True,False
REGION_MARKUP,https://1-ofd.ru,yes,50411ef6-a728-4fac-93e4-8483c91bb502,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1-ofd.ru,yes,633ba397-92b8-4af8-b324-6d4a6da52b73,1,1,no,false,no,False,False
REGION_MARKUP,https://1-ofd.ru,yes,68d06d1c-35b5-44ac-b272-ce1fb4c0c141,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1-ofd.ru,yes,a7528370-83b6-44a5-b896-bb4ab5cd74bd,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1-sc.ru,no,e001f1e5-0f41-4f0b-a36f-768493302dc5,1,1,no,true,no,True,False
REGION_MARKUP,https://1-sc.ru,no,e28aa8be-bbc7-4b89-8bb0-71531e6071d5,1,1,no,true,no,True,False
REGION_MARKUP,https://1-thomas.ru,no,5af4f207-f855-45ca-942b-d9a9fe9fe88c,1,1,no,true,no,True,False
REGION_MARKUP,https://1-thomas.ru,no,f46da440-bf82-4ee7-93c1-5527712931cb,1,1,no,true,no,True,False
REGION_MARKUP,https://1-touch.ru,yes,50411ef6-a728-4fac-93e4-8483c91bb502,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1-touch.ru,yes,72069f14-960f-4450-a698-ec4b4f9f3628,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1-й-московский-мебельный-завод.рф,no,08c2ebf7-98eb-40ed-8357-df5cee320961,1,1,yes,false,yes,False,False
REGION_MARKUP,https://1-й-московский-мебельный-завод.рф,no,1e2a70a3-5060-45db-8e78-a50b2819c44d,1,1,no,true,no,True,False
REGION_MARKUP,https://1-й-московский-мебельный-завод.рф,no,7ce7618d-9b6f-4c7e-8dc9-57fe08a5a0b3,1,1,yes,false,yes,False,False
REGION_MARKUP,https://1-й-московский-мебельный-завод.рф,no,b2fa13c9-3984-4d7c-84c2-bbef3e498f4d,1,1,yes,false,yes,False,False
REGION_MARKUP,https://1-мебельный.рф,no,05da45c4-25ef-4033-b738-7b6ba97d6f40,1,1,no,true,no,True,False
REGION_MARKUP,https://1-мебельный.рф,no,4edd52f0-748d-4337-b705-5ae0d021c21c,1,1,yes,false,yes,False,False
REGION_MARKUP,https://100-dverei.ru,no,550c85dd-030a-4f38-b187-a52439d62f7e,1,1,no,true,no,True,False
REGION_MARKUP,https://100-dverei.ru,no,7363e8df-9118-4a17-ac6c-efa90abf7d5e,1,1,no,true,no,True,False
REGION_MARKUP,https://1000-m.ru,no,3c77f649-1060-4f4f-b2a2-cd285a3c8c63,1,1,no,true,no,True,False
REGION_MARKUP,https://1000-m.ru,no,ae672efe-f823-4d40-8f44-610846b8c7d8,1,1,no,true,no,True,False
REGION_MARKUP,https://1000cues.ru,no,1d3186d3-8624-4a6e-a792-507086956bce,1,1,yes,false,yes,False,False
REGION_MARKUP,https://1000cues.ru,no,6f756ec2-41dd-46af-bbba-f2f1c264bf45,1,1,yes,false,yes,False,False
REGION_MARKUP,https://1000dopov.ru,yes,3f08392a-b0dc-439a-a63e-148634c8b523,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1000i1sumka.ru,yes,0082e5b5-227a-4de2-b49c-e33b7321493b,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1000i1sumka.ru,yes,b3d3b225-0b92-419d-ac56-12ca841f477e,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1000i1sumka.ru,yes,e5ad53d3-3dbc-4152-b9fb-b032e743f7e8,1,1,yes,true,yes,True,False
REGION_MARKUP,https://1000kam.ru,no,741def81-23de-4d25-a3ae-8e12f770fec3,1,1,yes,false,yes,False,False
REGION_MARKUP,https://1000kam.ru,no,e082814b-2f55-40b9-b670-c2d51f0e9b13,1,1,yes,false,yes,False,False
