worker_id,assignments_total,approved_count,expired_count,skipped_count,median_duration_sec,items_done,yes_count,no_count,not_working_count,controls_done,controls_correct,unfinished_share,control_accuracy,yes_share,no_share,not_working_share,answer_dominance_share,low_control_accuracy_flag,answer_dominance_flag,fast_low_quality_flag,unfinished_behavior_flag,suspicious_flag,suspicious_reasons
9ebe1eac-033d-494c-870f-94a9d666134b,2,2,0,0,166.0,20.0,1.0,0.0,19.0,4.0,0.0,0.0,0.0,0.05,0.0,0.95,0.95,True,True,True,False,True,"low_control_accuracy,answer_dominance,fast_low_quality"
e64aa1b3-d75e-42a9-95ce-0afdcf926e50,2,2,0,0,101.5,20.0,19.0,1.0,0.0,4.0,0.0,0.0,0.0,0.95,0.05,0.0,0.95,True,True,True,False,True,"low_control_accuracy,answer_dominance,fast_low_quality"
ce4aa68e-b693-46f4-b477-e996bef4f0bd,3,3,0,0,131.0,30.0,28.0,2.0,0.0,3.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.9333333333333333,False,True,False,False,True,answer_dominance
7bd77f54-800e-4c5a-8f50-f311ed17c2e6,2,2,0,0,403.5,20.0,18.0,2.0,0.0,4.0,0.0,0.0,0.0,0.9,0.1,0.0,0.9,True,True,False,False,True,"low_control_accuracy,answer_dominance"
c81a4911-feda-41e7-a1f6-44173f0ec99b,2,2,0,0,130.5,20.0,18.0,1.0,1.0,4.0,0.0,0.0,0.0,0.9,0.05,0.05,0.9,True,True,True,False,True,"low_control_accuracy,answer_dominance,fast_low_quality"
e7e9e331-a9e1-4a7a-b37f-fd1279837283,2,2,0,0,163.0,20.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.9,0.0,0.1,0.9,False,True,False,False,True,answer_dominance
5ff603d8-25bb-4b85-9125-887c9c252c62,3,1,2,0,359.0,10.0,8.0,2.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.8,0.2,0.0,0.8,False,False,False,True,True,unfinished_behavior
3bba6a3e-6116-4cdb-8dc5-a8d138445597,4,2,2,0,99.0,20.0,15.0,1.0,4.0,4.0,0.0,0.5,0.0,0.75,0.05,0.2,0.75,True,False,True,True,True,"low_control_accuracy,fast_low_quality,unfinished_behavior"
ad844971-2f67-4c61-a172-04187a47618f,2,2,0,0,281.0,20.0,14.0,6.0,0.0,4.0,0.0,0.0,0.0,0.7,0.3,0.0,0.7,True,False,False,False,True,low_control_accuracy
b1877f4f-f17b-44a0-b8b6-ebc2e9c7266f,5,4,1,0,271.5,40.0,27.0,11.0,2.0,4.0,0.0,0.2,0.0,0.675,0.275,0.05,0.675,True,False,False,False,True,low_control_accuracy
